Identifiant_Accident,date,Annee_Accident,Mois_Accident,Jour_Accident,Heure_Minutes_Accident,Departement,Commune,Latitude,Longitude,Localisation,Intersection,Categorie_Route,Régime_Circulation,Amenagement_Infrastructure,Situation_Accident,coord,Metropole
201900000641,2019-11-27,2019,novembre,mercredi,1900-01-01 11:51:00,67,67205,,,En agglomération,Giratoire,Voie Communales,Bidirectionnelle,Carrefour aménagé,Sur chaussée,"nan, nan",Autre
201900000889,2019-09-21,2019,septembre,samedi,1900-01-01 10:30:00,38,38289,,,Hors agglomération,Hors intersection,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Autre
201900001003,2019-02-14,2019,février,jeudi,1900-01-01 13:36:00,67,67433,,,Hors agglomération,Intersection en Y,Route Départementale,Bidirectionnelle,Carrefour aménagé,Sur chaussée,"nan, nan",Autre
201900002192,2019-09-29,2019,septembre,dimanche,1900-01-01 18:05:00,38,38012,,,En agglomération,Intersection en T,Route Départementale,Bidirectionnelle,Carrefour aménagé,Sur chaussée,"nan, nan",Autre
201900003376,2019-08-16,2019,août,vendredi,1900-01-01 16:25:00,67,67184,,,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Autre
201900003388,2019-06-04,2019,juin,mardi,1900-01-01 23:54:00,67,67448,,,En agglomération,Hors intersection,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Autre
201900003891,2019-09-15,2019,septembre,dimanche,1900-01-01 11:00:00,38,38200,,,En agglomération,Giratoire,Route nationale,A sens unique,Aucun,Sur chaussée,"nan, nan",Grenoble
201900004236,2019-07-05,2019,juillet,vendredi,1900-01-01 11:50:00,67,67482,,,En agglomération,Intersection en T,Voie Communales,A sens unique,Aucun,Sur chaussée,"nan, nan",Strasbourg
201900004914,2019-10-22,2019,octobre,mardi,1900-01-01 19:15:00,67,67327,,,Hors agglomération,Hors intersection,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Autre
201900005090,2019-06-12,2019,juin,mercredi,1900-01-01 14:15:00,38,38354,,,Hors agglomération,Intersection en T,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Autre
201900005293,2019-08-13,2019,août,mardi,1900-01-01 16:00:00,38,38074,,,Hors agglomération,Hors intersection,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Autre
201900005821,2019-07-09,2019,juillet,mardi,1900-01-01 10:15:00,38,38135,,,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Aucun,Sur accotement,"nan, nan",Autre
201900006922,2019-08-04,2019,août,dimanche,1900-01-01 10:40:00,67,67526,,,Hors agglomération,Intersection en T,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Autre
201900007031,2019-08-11,2019,août,dimanche,1900-01-01 16:05:00,38,38005,,,Hors agglomération,Hors intersection,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Autre
201900008653,2019-06-01,2019,juin,samedi,1900-01-01 17:00:00,38,38052,,,Hors agglomération,Hors intersection,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Autre
201900009840,2019-03-22,2019,mars,vendredi,1900-01-01 17:50:00,38,38052,,,Hors agglomération,Hors intersection,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Autre
201900010489,2019-05-31,2019,mai,vendredi,1900-01-01 20:30:00,67,67519,,,En agglomération,Intersection en T,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Strasbourg
201900010491,2019-05-28,2019,mai,mardi,1900-01-01 06:25:00,67,67067,,,Hors agglomération,Hors intersection,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Autre
201900010782,2019-08-07,2019,août,mercredi,1900-01-01 17:15:00,38,38249,,,En agglomération,Giratoire,Route Départementale,A chaussées séparées,Autres,Sur chaussée,"nan, nan",Autre
201900011579,2019-03-24,2019,mars,dimanche,1900-01-01 05:30:00,67,67118,,,En agglomération,Intersection en T,Routes de métropole urbaine,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Strasbourg
201900012039,2019-10-16,2019,octobre,mercredi,1900-01-01 14:00:00,67,67080,,,Hors agglomération,Intersection en X,Route Départementale,Bidirectionnelle,Carrefour aménagé,Sur chaussée,"nan, nan",Autre
201900012778,2019-07-05,2019,juillet,vendredi,1900-01-01 10:35:00,38,38550,,,Hors agglomération,Hors intersection,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Autre
201900012779,2019-06-01,2019,juin,samedi,1900-01-01 12:15:00,38,38191,,,Hors agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Autre
201900013701,2019-02-04,2019,février,lundi,1900-01-01 19:15:00,38,38130,,,En agglomération,Autre intersection,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Autre
201900013802,2019-10-15,2019,octobre,mardi,1900-01-01 18:08:00,38,38188,,,Hors agglomération,Intersection en Y,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Grenoble
201900015052,2019-03-19,2019,mars,mardi,1900-01-01 10:45:00,67,67065,,,Hors agglomération,Intersection en T,Routes de métropole urbaine,Bidirectionnelle,Carrefour aménagé,Sur chaussée,"nan, nan",Strasbourg
201900015234,2019-09-10,2019,septembre,mardi,1900-01-01 18:10:00,38,38537,,,En agglomération,Hors intersection,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Autre
201900016224,2019-06-28,2019,juin,vendredi,1900-01-01 22:40:00,67,67482,,,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Strasbourg
201900016800,2019-03-18,2019,mars,lundi,1900-01-01 08:40:00,38,38565,,,Hors agglomération,Hors intersection,Route Départementale,Bidirectionnelle,Aucun,Sur piste cyclable,"nan, nan",Autre
201900016921,2019-03-13,2019,mars,mercredi,1900-01-01 17:45:00,67,67482,,,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Chantier,Sur chaussée,"nan, nan",Strasbourg
201900017180,2019-09-13,2019,septembre,vendredi,1900-01-01 08:35:00,67,67471,,,En agglomération,Hors intersection,Voie Communales,A sens unique,Aucun,Sur chaussée,"nan, nan",Autre
201900017389,2019-10-11,2019,octobre,vendredi,1900-01-01 11:40:00,67,67263,,,En agglomération,Intersection en T,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Autre
201900017450,2019-10-04,2019,octobre,vendredi,1900-01-01 08:20:00,38,38249,,,En agglomération,Intersection en T,Voie Communales,Bidirectionnelle,Aucun,Sur piste cyclable,"nan, nan",Autre
201900017792,2019-07-31,2019,juillet,mercredi,1900-01-01 18:15:00,67,67482,,,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Pont - autopont,Sur chaussée,"nan, nan",Strasbourg
