id,coord,annee_maj,categorie,geometrie,longitude,latitude,code_postal
1725,"45.16343,5.71262",2016-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.71262,45.16343],[5.71226,45.16189],[5.71224,45.1617],[5.71219,45.16071],[5.7122,45.1602],[5.71224,45.15976],[5.71226,45.15961],[5.71231,45.15957],[5.71238,45.15956],[5.71243,45.15956],[5.7125,45.15958],[5.71331,45.15977],[5.71354,45.15982],[5.71368,45.15981],[5.7138,45.15978]]}",45.16343,5.71262,38
1658,"45.15102,5.70926",2022-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.70926,45.15102],[5.7096,45.15084],[5.70963,45.15075],[5.70972,45.15051],[5.70977,45.1502],[5.70978,45.14981],[5.70982,45.14916],[5.70986,45.14866],[5.70991,45.14837],[5.70998,45.14816],[5.71015,45.1477],[5.7104,45.14707],[5.71058,45.14651],[5.71071,45.14598],[5.7107,45.14573],[5.71065,45.1454],[5.71062,45.14514],[5.71062,45.14514]]}",45.15102,5.70926,38
1763,"45.14601,5.70491",2020-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.70491,45.14601],[5.70224,45.13817]]}",45.14601,5.70491,38
2614,"45.14547,5.70739",2022-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.70739,45.14547],[5.70491,45.14601]]}",45.14547,5.70739,38
1896,"45.15102,5.70926",2022-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.70926,45.15102],[5.70941,45.15119],[5.70966,45.15145],[5.71006,45.15184],[5.71069,45.15248],[5.71149,45.15329],[5.71186,45.15366],[5.71194,45.15377],[5.71202,45.15389],[5.71206,45.15397],[5.71219,45.15436]]}",45.15102,5.70926,38
1893,"45.17379,5.71675",2016-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.71675,45.17379],[5.71641,45.17277],[5.71614,45.17202],[5.71598,45.17156],[5.7157,45.17069],[5.71559,45.17039]]}",45.17379,5.71675,38
1885,"45.17039,5.71559",2016-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.71559,45.17039],[5.71511,45.16924],[5.71399,45.16657],[5.71378,45.16609],[5.71284,45.164],[5.71262,45.16343]]}",45.17039,5.71559,38
1892,"45.18386,5.71781",2022-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.71781,45.18386],[5.71821,45.18297]]}",45.18386,5.71781,38
1831,"45.18967,5.71563",2022-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.71563,45.18967],[5.71562,45.18979],[5.71564,45.18985],[5.71572,45.19002],[5.71577,45.19017],[5.71578,45.19036],[5.71579,45.19047],[5.71578,45.19057],[5.71545,45.19122],[5.71492,45.1924],[5.71407,45.19422],[5.71361,45.19513],[5.7136,45.19528]]}",45.18967,5.71563,38
1818,"45.21932,5.67942",2022-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.67942,45.21932],[5.67948,45.21927],[5.67948,45.21923],[5.67946,45.21918],[5.67946,45.21908],[5.6795,45.21902],[5.67966,45.21887],[5.6798,45.21872],[5.68012,45.21842],[5.68038,45.21817],[5.68069,45.21791],[5.68076,45.21784],[5.68084,45.21779],[5.68093,45.21774],[5.68102,45.21768],[5.68109,45.21765],[5.68114,45.21761],[5.68116,45.21758],[5.68118,45.21755],[5.68121,45.21749],[5.68125,45.21743],[5.68129,45.21739],[5.68144,45.21725],[5.68185,45.21687],[5.68204,45.21671],[5.68231,45.21645],[5.68241,45.21638],[5.68249,45.21633],[5.68261,45.21627],[5.68271,45.21623],[5.6828,45.21622],[5.6829,45.21618],[5.68303,45.21612],[5.68308,45.21609],[5.68312,45.21606],[5.68328,45.21604],[5.68353,45.21603],[5.6837,45.21601],[5.68381,45.216],[5.68392,45.21601],[5.68402,45.21601],[5.68417,45.21598],[5.6843,45.21594],[5.68441,45.21592],[5.6845,45.21588]]}",45.21932,5.67942,38
